task,model,subject,session,accuracy,balanced_accuracy,f1_score,kappa,loss,n_subjects,loso_acc_mean,loso_acc_std,loso_balacc_mean,loso_f1_mean,loso_kappa_mean
speech_mode,Deep4Net,02,01,0.345098,0.345098,0.276239,0.017647,-161896.296875,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,03,01,0.346405,0.346405,0.23021,0.019608,-20852.548503,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,04,01,0.350327,0.350327,0.257176,0.02549,-8098.363973,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,04,02,0.338562,0.338562,0.260151,0.007843,-7444.915609,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,05,01,0.333333,0.333333,0.166667,0.0,-2683.722168,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,05,02,0.333333,0.333333,0.166667,0.0,-2648.389038,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,06,01,0.339869,0.339869,0.226492,0.009804,-8375.084229,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,07,01,0.333333,0.333333,0.166667,0.0,-328.339264,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,08,01,0.362092,0.362092,0.289514,0.043137,-51369.473633,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,09,01,0.338562,0.338562,0.265059,0.007843,-679.445857,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,09,02,0.335948,0.335948,0.266727,0.003922,-943.319951,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,10,01,0.333333,0.333333,0.166667,0.0,-651.076324,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,11,01,0.369935,0.369935,0.290438,0.054902,-56985.129557,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,12,01,0.352941,0.352941,0.273419,0.029412,-647.216868,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,12,02,0.360784,0.360784,0.280368,0.041176,-654.93693,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,13,01,0.333333,0.333333,0.166667,0.0,-2213.510295,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,13,02,0.333333,0.333333,0.166667,0.0,-2183.682098,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,Deep4Net,14,01,0.338562,0.338562,0.252309,0.007843,-47388.639323,14,0.343557,0.011282,0.343557,0.229462,0.015336
speech_mode,EEGConformer,01,01,0.333333,0.333333,0.166667,0.0,-1951097632.0,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,02,01,0.333333,0.333333,0.166667,0.0,-1958840234.666667,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,03,01,0.333333,0.333333,0.166667,0.0,-1955599776.0,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,04,01,0.333333,0.333333,0.166667,0.0,-1333787424.0,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,04,02,0.333333,0.333333,0.166667,0.0,-1333776224.0,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,05,01,0.333333,0.333333,0.166667,0.0,-1309979338.666667,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,05,02,0.333333,0.333333,0.166667,0.0,-1310058688.0,14,0.333333,0.0,0.333333,0.166667,0.0
speech_mode,EEGConformer,06,01,0.333333,0.333333,0.166667,0.0,-1952198293.333333,14,0.333333,0.0,0.333333,0.166667,0.0
